search_string,search_engine,title,media,timestamp,link,page_number
tata power,bing,"Tata Power eyeing modular nuclear reactors, to divest $1 billion non-core assets: CEO",Indiatimes,6 days ago,https://economictimes.indiatimes.com/industry/energy/power/tata-power-eyeing-modular-nuclear-reactors-to-divest-1-billion-non-core-assets-ceo/articleshow/117921533.cms,2
tata power,bing,Tata Power wants to build small nuclear reactors as govt opens sector: CEO,Reuters on MSN,6 days ago,https://www.msn.com/en-us/money/other/tata-power-keen-on-building-small-nuclear-reactors-as-india-opens-up-sector-ceo-says/ar-AA1yoyV0?ocid=BingNewsVerp,2
tata power,bing,"Tata Power Q3 Results: Profit up 10%, margin expands; Looks for opportunity in small nuclear reactors",cnbctv18,6 days ago,https://www.cnbctv18.com/market/tata-power-q3-results-margin-expansion-nuclear-reactor-opportunity-budget-share-price-reaction-19552397.htm,2
tata power,bing,"Tata Power Q3 Results: Cons. PAT climbs 10% to Rs 1,188 crore",Zee Business on MSN,6 days ago,https://www.msn.com/en-in/money/economy/tata-power-q3-results-cons-pat-climbs-10-to-rs-1-188-crore/ar-AA1yo8vP?ocid=BingNewsVerp,2
tata power,bing,Titan shares slide over 3% post Q3 results; Tata Power up 4%,Fortune India,6 days ago,https://www.fortuneindia.com/investing/titan-shares-slide-over-3-post-q3-results-tata-power-up-4/120398,2
tata power,bing,"Tata Power Q3 Results: Cons PAT rises 8% to Rs 1,031 crore, revenue up 5%",Indiatimes,6 days ago,https://economictimes.indiatimes.com/markets/stocks/earnings/tata-power-q3-results-cons-pat-jumps-8-to-rs-1031-crore-revenue-up-5/articleshow/117914275.cms,2
tesla power,bing,How Elon Musk's crusade against government could benefit Tesla,The Associated Press on MSN,24 minutes ago,https://www.msn.com/en-us/money/companies/how-elon-musks-crusade-against-government-could-benefit-tesla/ar-AA1yNe5e?ocid=BingNewsVerp,1
tesla power,bing,This next-gen Tesla battery could make blackouts a thing of the past — here's how to keep your lights on when the grid goes down,The Cool Down on MSN,1 day ago,https://www.msn.com/en-us/technology/renewable-energy/this-next-gen-tesla-battery-could-make-blackouts-a-thing-of-the-past-here-s-how-to-keep-your-lights-on-when-the-grid-goes-down/ar-AA1yJcms?ocid=BingNewsVerp,1
tesla power,bing,'No one voted for Elon Musk': JD Vance on why Tesla CEO has so much power as billionaire plunges US govt into chaos,The Economic Times on MSN,3 days ago,https://www.msn.com/en-in/news/world/no-one-voted-for-elon-musk-jd-vance-on-why-tesla-ceo-has-so-much-power-as-billionaire-plunges-us-govt-into-chaos/ar-AA1yASPb?ocid=BingNewsVerp,1
tesla power,bing,Palantir's Tesla Moment Is Here: Power Of Hype Over Fundamentals,Seeking Alpha,2 days ago,https://seekingalpha.com/article/4756289-palantirs-tesla-moment-is-here-power-of-hype-over-fundamentals,1
tesla power,bing,"Tesla’s Dojo, a timeline",TechCrunch,3 days ago,https://techcrunch.com/2025/02/07/teslas-dojo-a-timeline/,1
tesla power,bing,Tesla Robotaxis by June? Musk Turns to Texas for Hands-Off Regulation,U.S. News & World Report,19 hours ago,https://www.usnews.com/news/top-news/articles/2025-02-10/tesla-robotaxis-by-june-musk-turns-to-texas-for-hands-off-regulation,1
tesla power,bing,"Tesla, Proust, And The Power Of Seeing With New Eyes",Seeking Alpha,12 days ago,https://seekingalpha.com/article/4752989-tesla-stock-proust-and-the-power-of-seeing-with-new-eyes,1
tesla power,bing,"Tesla Dojo: Elon Musk’s big plan to build an AI supercomputer, explained",TechCrunch,4 days ago,https://techcrunch.com/2025/02/06/tesla-dojo-elon-musks-big-plan-to-build-an-ai-supercomputer-explained/,1
tesla power,bing,"'Corrupt abuse of power': Democrats criticise Elon Musk, Donald Trump as USAID headquarters close amid Tesla CEO's DOGE plan",Indiatimes,7 days ago,https://timesofindia.indiatimes.com/world/us/corrupt-abuse-of-power-democrats-criticise-elon-musk-donald-trump-as-usaid-headquarters-close-amid-tesla-ceos-doge-plan/articleshow/117898653.cms,1
tesla power,bing,Tesla Energy and Future Batteries,NextBigFuture,4 days ago,https://www.nextbigfuture.com/2025/02/tesla-energy-and-future-batteries.html,2
tesla power,bing,Original Nikola Tesla technology in this rural Kootenay community can be used to power your electric car,InfoTel,1 day ago,https://infotel.ca/newsitem/original-nikola-tesla-technology-in-this-rural-kootenay-community-can-be-used-to-power-your-electric-car/it89517,2
tesla power,bing,Tesla announces all V4 Superchargers can now charge up to 325kW in North America,Electrek,13 days ago,https://electrek.co/2025/01/28/tesla-announces-all-v4-superchargers-can-now-charge-up-to-325kw-in-north-america/,2
tesla power,bing,"White House's quiet reminder to Elon Musk: His power isn't unchecked, and he's a staffer who needs to report to Chief of Staff Susie Wiles",The Economic Times on MSN,5 days ago,https://www.msn.com/en-in/news/world/white-house-s-quiet-reminder-to-elon-musk-his-power-isn-t-unchecked-and-he-s-a-staffer-who-needs-to-report-to-chief-of-staff-susie-wiles/ar-AA1ytS1l?ocid=BingNewsVerp,2
tesla power,bing,"Cybertruck Sales Aren't Great, But Its Tech Will Power Tesla's Future EVs",InsideEVs on MSN,7 days ago,https://www.msn.com/en-sg/news/other/cybertruck-sales-aren-t-great-but-its-tech-will-power-tesla-s-future-evs/ar-AA1ykOS2?ocid=BingNewsVerp,2
